Year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1926	0.03468	0.04070	0.02890	0.04070	0.02890	0.01143	-0.01130	-0.01695	-0.01130	-0.00565	-0.01667	-0.01117
1925	0.00000	0.00000	0.01170	0.01176	0.01765	0.02941	0.03509	0.04118	0.03509	0.02907	0.04651	0.03468
1924	0.02976	0.02381	0.01786	0.00592	0.00592	0.00000	-0.00581	-0.00585	-0.00581	-0.00578	-0.00578	0.00000
1923	-0.00592	-0.00592	0.00599	0.01198	0.01198	0.01796	0.02381	0.03012	0.03614	0.03593	0.02976	0.02367
1922	-0.11053	-0.08152	-0.08743	-0.07735	-0.05650	-0.05114	-0.05085	-0.06215	-0.05143	-0.04571	-0.03448	-0.02312
1921	-0.01554	-0.05641	-0.07107	-0.10837	-0.14078	-0.15789	-0.14904	-0.12808	-0.12500	-0.12060	-0.12121	-0.10825
1920	0.16970	0.20370	0.20122	0.21557	0.21893	0.23669	0.19540	0.14689	0.12360	0.09945	0.07027	0.02646
1919	0.17857	0.14894	0.17143	0.17606	0.16552	0.14966	0.15232	0.14935	0.13376	0.13125	0.13497	0.14545
1918	0.19658	0.17500	0.16667	0.12698	0.13281	0.13077	0.17969	0.18462	0.18045	0.18519	0.20741	0.20438
1917	0.12500	0.15385	0.14286	0.18868	0.19626	0.20370	0.18519	0.19266	0.19820	0.19469	0.17391	0.18103
1916	0.02970	0.04000	0.06061	0.06000	0.05941	0.06931	0.06931	0.07921	0.09901	0.10784	0.11650	0.12621
1915	0.01000	0.01010	0.00000	0.02041	0.02020	0.02020	0.01000	-0.00980	-0.00980	0.00990	0.00980	0.01980
1914	0.02041	0.01020	0.01020	0.00000	0.02062	0.01020	0.01010	0.03030	0.02000	0.01000	0.00990	0.01000
